clean_bigrams,count
CUSTOMER SERVICE,475
LOVE CHIPOTLE,463
BURRITO BOWL,318
SOUR CREAM,316
EVERY TIME,256
WORST CHIPOTLE,237
CHIPOTLE EVER,218
FAST FOOD,206
CHIPOTLE LOCATION,204
GO BACK,181
FIRST TIME,180
LAST TIME,154
ONLINE ORDER,154
BROWN RICE,151
RICE BEANS,144
BEHIND COUNTER,141
EVER TO,136
WHITE RICE,134
FOOD GOOD,130
BLACK BEANS,128
LIKE CHIPOTLE,126
CHICKEN BOWL,125
20 MINUTES,119
GOING BACK,111
GO CHIPOTLE,111
EVEN THOUGH,111
ORDER ONLINE,107
10 MINUTES,106
COME BACK,105
30 MINUTES,104
