clean_bigrams,count
DRIVE THRU,1756
CUSTOMER SERVICE,1298
STARBUCKS EVER,533
WORST STARBUCKS,503
EVERY TIME,501
10 MINUTES,403
ICED COFFEE,388
STARBUCKS LOCATION,373
15 MINUTES,354
GO STARBUCKS,335
PARKING LOT,332
GREEN TEA,328
BEHIND COUNTER,301
20 MINUTES,299
GET COFFEE,298
FIRST TIME,296
GET DRINK,282
MAKING DRINKS,279
GO BACK,276
LOVE STARBUCKS,268
SLOWEST STARBUCKS,262
CUP COFFEE,258
MOBILE ORDER,253
COFFEE SHOP,240
EVEN THOUGH,240
STAFF FRIENDLY,231
COME BACK,227
LIKE STARBUCKS,218
GET ORDER,217
EVER TO,215
